feature_key,layer,feature,prompt,peak_token,peak_token_idx,activation_max,sparsity_ratio,peak_token_type,target_tokens,tokens_source,pred_label,subtype,confidence,review,why_review,supernode_name,top_activations_probe_original
0_51434,0,51434,entity: A famous product is the Dell XPS, the,7,82.9969482421875,0.888888888888889,functional,"[{""token"": "" Dell"", ""index"": 8, ""distance"": 1, ""direction"": ""forward""}]",json,Semantic,Dictionary,0.8,False,,The,"[{""tk"": ""the"", ""act"": 85.5711669921875}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""Dell"", ""act"": 0.0}, {""tk"": ""XPS"", ""act"": 0.0}, {""tk"": ""technology"", ""act"": 0.0}, {""tk"": ""company"", ""act"": 0.0}, {""tk"": ""founder"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""Michael"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""who"", ""act"": 0.0}, {""tk"": ""started"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""established"", ""act"": 0.0}]"
0_95475,0,95475,entity: A famous product is the Dell XPS, product,5,70.21309661865234,0.6206161786714794,semantic,"[{""token"": "" product"", ""index"": 5, ""distance"": 0, ""direction"": ""self""}]",n/a,Semantic,Dictionary (fallback),0.9,False,,technology,"[{""tk"": ""technology"", ""act"": 93.322021484375}, {""tk"": ""founder"", ""act"": 81.49853515625}, {""tk"": ""company"", ""act"": 69.5289535522461}, {""tk"": ""person"", ""act"": 61.45553207397461}, {""tk"": ""established"", ""act"": 57.30805969238281}, {""tk"": ""Dell"", ""act"": 46.576377868652344}, {""tk"": ""Michael"", ""act"": 41.23877716064453}, {""tk"": ""started"", ""act"": 30.94107437133789}, {""tk"": ""called"", ""act"": 26.789133071899414}, {""tk"": ""XPS"", ""act"": 17.001657485961914}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""the"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""who"", ""act"": 0.0}]"
0_39122,0,39122,entity: A famous product is the Dell XPS,:,2,55.24455642700195,0.8150506780200175,functional,"[{""token"": "" famous"", ""index"": 4, ""distance"": 2, ""direction"": ""forward""}, {""token"": ""entity"", ""index"": 1, ""distance"": 1, ""direction"": ""backward""}]",json,Semantic,Dictionary (fallback),0.9,False,,punctuation,"[{""tk"": ""of"", ""act"": 38.268653869628906}, {""tk"": ""the"", ""act"": 36.712432861328125}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""Dell"", ""act"": 0.0}, {""tk"": ""XPS"", ""act"": 0.0}, {""tk"": ""technology"", ""act"": 0.0}, {""tk"": ""company"", ""act"": 0.0}, {""tk"": ""founder"", ""act"": 0.0}, {""tk"": ""Michael"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""who"", ""act"": 0.0}, {""tk"": ""started"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""established"", ""act"": 0.0}]"
0_40780,0,40780,entity: A famous product is the Dell XPS, is,6,51.99443817138672,0.6944885418243556,functional,"[{""token"": "" Dell"", ""index"": 8, ""distance"": 2, ""direction"": ""forward""}]",json,Semantic,Dictionary (fallback),0.9,False,,the,"[{""tk"": ""the"", ""act"": 57.46990203857422}, {""tk"": ""who"", ""act"": 54.23466110229492}, {""tk"": ""is"", ""act"": 53.85965347290039}, {""tk"": ""of"", ""act"": 40.54933166503906}, {""tk"": ""Dell"", ""act"": 0.0}, {""tk"": ""XPS"", ""act"": 0.0}, {""tk"": ""technology"", ""act"": 0.0}, {""tk"": ""company"", ""act"": 0.0}, {""tk"": ""founder"", ""act"": 0.0}, {""tk"": ""Michael"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""started"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""established"", ""act"": 0.0}]"
0_18753,0,18753,entity: A famous product is the Dell XPS,:,2,51.97818756103516,0.6912009784074996,functional,"[{""token"": "" famous"", ""index"": 4, ""distance"": 2, ""direction"": ""forward""}, {""token"": ""entity"", ""index"": 1, ""distance"": 1, ""direction"": ""backward""}]",json,Semantic,Dictionary (fallback),0.9,False,,punctuation,"[{""tk"": ""is"", ""act"": 47.909820556640625}, {""tk"": ""the"", ""act"": 45.0550422668457}, {""tk"": ""of"", ""act"": 43.002593994140625}, {""tk"": ""Dell"", ""act"": 0.0}, {""tk"": ""XPS"", ""act"": 0.0}, {""tk"": ""technology"", ""act"": 0.0}, {""tk"": ""company"", ""act"": 0.0}, {""tk"": ""founder"", ""act"": 0.0}, {""tk"": ""Michael"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""who"", ""act"": 0.0}, {""tk"": ""started"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""established"", ""act"": 0.0}]"
0_54198,0,54198,entity: A famous product is the Dell XPS, A,3,47.80646514892578,0.888888888888889,functional,"[{""token"": "" famous"", ""index"": 4, ""distance"": 1, ""direction"": ""forward""}]",json,Semantic,Dictionary (fallback),0.9,False,,The,"[{""tk"": ""The"", ""act"": 58.90498733520508}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""Dell"", ""act"": 0.0}, {""tk"": ""XPS"", ""act"": 0.0}, {""tk"": ""technology"", ""act"": 0.0}, {""tk"": ""company"", ""act"": 0.0}, {""tk"": ""founder"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""Michael"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""who"", ""act"": 0.0}, {""tk"": ""started"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""established"", ""act"": 0.0}]"
0_49560,0,49560,entity: A famous product is the Dell XPS, is,6,45.99850845336914,0.888888888888889,functional,"[{""token"": "" Dell"", ""index"": 8, ""distance"": 2, ""direction"": ""forward""}]",json,Semantic,Dictionary,1.0,False,,is,"[{""tk"": ""is"", ""act"": 50.08353042602539}, {""tk"": ""the"", ""act"": 0.0}, {""tk"": ""Dell"", ""act"": 0.0}, {""tk"": ""XPS"", ""act"": 0.0}, {""tk"": ""technology"", ""act"": 0.0}, {""tk"": ""company"", ""act"": 0.0}, {""tk"": ""founder"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""Michael"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""who"", ""act"": 0.0}, {""tk"": ""started"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""established"", ""act"": 0.0}]"
0_95057,0,95057,entity: A famous product is the Dell XPS,:,2,44.86204528808594,0.6645094211565215,functional,"[{""token"": "" famous"", ""index"": 4, ""distance"": 2, ""direction"": ""forward""}, {""token"": ""entity"", ""index"": 1, ""distance"": 1, ""direction"": ""backward""}]",json,Semantic,Dictionary (fallback),0.9,False,,punctuation,"[{""tk"": ""The"", ""act"": 34.374595642089844}, {""tk"": ""is"", ""act"": 28.97300148010254}, {""tk"": ""Dell"", ""act"": 0.0}, {""tk"": ""XPS"", ""act"": 0.0}, {""tk"": ""technology"", ""act"": 0.0}, {""tk"": ""company"", ""act"": 0.0}, {""tk"": ""founder"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""Michael"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""who"", ""act"": 0.0}, {""tk"": ""started"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""established"", ""act"": 0.0}]"
0_5200,0,5200,entity: A famous product is the Dell XPS, is,6,42.7060432434082,0.888888888888889,functional,"[{""token"": "" Dell"", ""index"": 8, ""distance"": 2, ""direction"": ""forward""}]",json,Semantic,Dictionary,1.0,False,,is,"[{""tk"": ""is"", ""act"": 44.734336853027344}, {""tk"": ""the"", ""act"": 0.0}, {""tk"": ""Dell"", ""act"": 0.0}, {""tk"": ""XPS"", ""act"": 0.0}, {""tk"": ""technology"", ""act"": 0.0}, {""tk"": ""company"", ""act"": 0.0}, {""tk"": ""founder"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""Michael"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""who"", ""act"": 0.0}, {""tk"": ""started"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""established"", ""act"": 0.0}]"
0_25984,0,25984,entity: A famous product is the Dell XPS, the,7,38.036277770996094,0.888888888888889,functional,"[{""token"": "" Dell"", ""index"": 8, ""distance"": 1, ""direction"": ""forward""}]",json,Semantic,Dictionary (fallback),0.9,False,,the,"[{""tk"": ""the"", ""act"": 44.54090881347656}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""Dell"", ""act"": 0.0}, {""tk"": ""XPS"", ""act"": 0.0}, {""tk"": ""technology"", ""act"": 0.0}, {""tk"": ""company"", ""act"": 0.0}, {""tk"": ""founder"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""Michael"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""who"", ""act"": 0.0}, {""tk"": ""started"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""established"", ""act"": 0.0}]"
