from_slug,hermione_granger,frodo_baggins,jay_gatsby,holden_caulfield,atticus_finch,elizabeth_bennet,huckleberry_finn,captain_ahab,raskolnikov,don_quixote,oliver_twist,dracula,anna_karenina,katniss_everdeen,scout_finch,winston_smith
hermione_granger,,0.0,,,,,,,,,,,,,,
frodo_baggins,0.0,,,,,,,,,,,,,,,
jay_gatsby,,,,,,0.0,,,,,,,,,,
holden_caulfield,,,,,,,,,,,,,,,,
atticus_finch,,,,,,,,,,,,,,,,
elizabeth_bennet,,,,,,,,,,,,,,,,
huckleberry_finn,,,,,,,,,,,,,,,,
captain_ahab,,,,,,,,,,,,,,,,
raskolnikov,,,,,,,,,,0.0,,,,,,
don_quixote,,,,,,,,,,,,,,,,
oliver_twist,,,,,,,,,,,,,,,,
dracula,,,,,,,,,,,,,0.0,,,
anna_karenina,,,,,,,,,,,,,,,,
katniss_everdeen,,,,,,,,,,,,,,,,
scout_finch,,,,,,,,,,,,,,,,
winston_smith,,,,,,,,,,,,,,,,
